customer,treatment,converted,pageviews,bounce
64087,yes,FALSE,1,TRUE
45798,yes,TRUE,16,FALSE
93557,yes,FALSE,1,TRUE
94272,yes,FALSE,1,TRUE
61053,no,FALSE,1,TRUE
26831,yes,FALSE,1,TRUE
64378,no,FALSE,1,TRUE
67061,no,FALSE,1,TRUE
94640,yes,FALSE,1,TRUE
82383,yes,FALSE,1,TRUE
85300,no,FALSE,1,TRUE
42711,no,FALSE,1,TRUE
38469,no,FALSE,1,TRUE
57264,yes,FALSE,1,TRUE
20016,no,FALSE,1,TRUE
17278,yes,FALSE,1,TRUE
70538,yes,FALSE,1,TRUE
90400,no,FALSE,1,TRUE
73383,no,FALSE,1,TRUE
43026,no,FALSE,1,TRUE
11794,yes,FALSE,1,TRUE
53636,yes,FALSE,1,TRUE
44623,yes,FALSE,1,TRUE
53877,no,FALSE,1,TRUE
40500,no,TRUE,8,FALSE
15953,yes,FALSE,1,TRUE
76826,yes,TRUE,9,FALSE
62751,yes,FALSE,1,TRUE
87541,yes,FALSE,1,TRUE
89172,no,FALSE,1,TRUE
64630,no,FALSE,1,TRUE
26516,yes,FALSE,1,TRUE
96837,no,TRUE,7,FALSE
78933,yes,FALSE,1,TRUE
16212,no,FALSE,8,FALSE
85441,no,FALSE,1,TRUE
83641,yes,FALSE,1,TRUE
45320,no,FALSE,1,TRUE
24493,yes,TRUE,10,FALSE
17422,yes,FALSE,1,TRUE
67411,no,FALSE,1,TRUE
50257,yes,FALSE,1,TRUE
24173,no,FALSE,1,TRUE
37048,yes,FALSE,1,TRUE
65116,no,FALSE,1,TRUE
76392,yes,FALSE,1,TRUE
15029,yes,FALSE,1,TRUE
52497,yes,FALSE,1,TRUE
73464,yes,FALSE,1,TRUE
58303,yes,FALSE,1,TRUE
44618,yes,FALSE,1,TRUE
28960,yes,FALSE,1,TRUE
46289,no,FALSE,1,TRUE
34506,no,FALSE,1,TRUE
42726,no,FALSE,1,TRUE
36308,yes,FALSE,1,TRUE
98353,yes,FALSE,1,TRUE
22976,no,FALSE,1,TRUE
26641,yes,TRUE,11,FALSE
42780,no,FALSE,1,TRUE
74258,no,FALSE,1,TRUE
89482,no,FALSE,1,TRUE
52239,yes,FALSE,1,TRUE
74309,yes,FALSE,1,TRUE
70388,no,FALSE,1,TRUE
37839,no,FALSE,1,TRUE
62680,no,FALSE,1,TRUE
48865,yes,FALSE,1,TRUE
94833,no,FALSE,1,TRUE
21073,yes,TRUE,11,FALSE
64077,yes,TRUE,10,FALSE
71987,no,FALSE,1,TRUE
